Disaster,Location,District,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Madampe,Puttalam,5,9,14.2,1
Cyclone,Chilaw,Puttalam,8,18,16.4,1
Cyclone,Nattandiya,Puttalam,5,22,14.2,0
Cyclone,Mahawewa,Puttalam,5,1,14.2,1
Cyclone,Srigampala South,Puttalam,10,26,11.0,0
Cyclone,Vanathavilluwa,Puttalam,5,19,14.2,0
Cyclone,Nawagattegama,Puttalam,3,18,8.0,0
Cyclone,Kottukachchiya,Puttalam,6,3,17.4,0
Cyclone,Ihala Puliyankulama,Puttalam,4,29,8.2,0
Cyclone,Dankotuwa,Puttalam,10,6,11.0,0
