Disaster,Location,District,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Meda Lunuvila,Puttalam,10,24,11.0,1
Cyclone,Chilaw,Puttalam,12,30,12.3,0
Cyclone,Serukele,Puttalam,3,5,8.0,1
Cyclone,Ettale,Puttalam,6,29,17.4,1
Cyclone,Ambakandavila,Puttalam,12,19,12.3,0
Cyclone,Andimunai,Puttalam,1,11,12.8,0
Cyclone,Welusumanapura,Puttalam,1,16,12.8,0
Cyclone,Vattakandal,Puttalam,6,18,17.4,0
Cyclone,Rathmalgaswewa,Puttalam,4,21,8.2,0
Cyclone,Thiladiya,Puttalam,2,13,10.7,0
Cyclone,Marikkar Street,Puttalam,2,22,10.7,0
Cyclone,Thiladiya,Puttalam,4,20,8.2,0
Cyclone,Thiladiya,Puttalam,5,27,14.2,0
Cyclone,Nandimithrapura,Puttalam,3,15,8.0,0
Cyclone,Weralabada South,Puttalam,6,15,17.4,0
Cyclone,Puttalam,Puttalam,2,24,10.7,1
Cyclone,Puttalam,Puttalam,9,7,15.2,1
Cyclone,Weralabada North,Puttalam,12,24,12.3,0
Cyclone,Egodawatta,Puttalam,12,3,12.3,0
Cyclone,Karuwalagaswewa,Puttalam,4,8,8.2,1
Cyclone,Mahawewa,Puttalam,11,29,10.1,1
Cyclone,Wennappuwa,Puttalam,11,29,10.1,1
Cyclone,Dankotuwa,Puttalam,11,29,10.1,1
Cyclone,Bangadeniya,Puttalam,11,19,10.1,1
Cyclone,Kusala,Puttalam,6,15,17.4,1
Cyclone,Weralabada,Puttalam,2,7,10.7,1
Cyclone,Karavittagara,Puttalam,3,5,8.0,1
Cyclone,Pallama,Puttalam,11,26,10.1,0
Cyclone,Pambala,Puttalam,8,3,16.4,1
Cyclone,Karathanvilluwa,Puttalam,5,19,14.2,1
Cyclone,Weralabada South,Puttalam,12,15,12.3,0
Cyclone,Bujjampola,Puttalam,6,22,17.4,1
Cyclone,Nainamadama,Puttalam,9,19,15.2,1
Cyclone,Egodagoda,Puttalam,4,9,8.2,1
Cyclone,Ettale,Puttalam,6,26,17.4,0
Cyclone,Bangadeniya,Puttalam,11,14,10.1,0
Cyclone,Kusala,Puttalam,6,11,17.4,0
Cyclone,Weralabada,Puttalam,2,1,10.7,0
Cyclone,Karavittagara,Puttalam,3,11,8.0,0
Cyclone,Weralabada,Puttalam,6,28,17.4,0
Cyclone,Ambakandavila,Puttalam,4,24,8.2,0
Cyclone,Ambakandavila,Puttalam,6,19,17.4,0
Cyclone,Arachchikattuwa,Puttalam,10,11,11.0,0
Cyclone,Wattakkaliya,Puttalam,9,19,15.2,1
Cyclone,Welihena,Puttalam,4,26,8.2,0
Cyclone,Weralabada,Puttalam,8,23,16.4,0
Cyclone,Sandanagama,Puttalam,3,20,8.0,0
Cyclone,Mundalama,Puttalam,10,11,11.0,0
Cyclone,Dankotuwa,Puttalam,10,29,11.0,0
Cyclone,Sandanagama,Puttalam,5,30,14.2,0
Cyclone,Puttalam,Puttalam,11,3,10.1,1
Cyclone,Pahala Kudawewa,Puttalam,9,2,15.2,0
Cyclone,Puhulhena,Puttalam,6,23,17.4,0
Cyclone,Panagoda,Puttalam,10,3,11.0,0
Cyclone,Serukele,Puttalam,3,3,8.0,1
Cyclone,Puttalam,Puttalam,7,10,16.9,1
Cyclone,Muttibendivila,Puttalam,4,2,8.2,0
Cyclone,Maligawatta,Puttalam,4,1,8.2,0
Cyclone,Iranavila West,Puttalam,6,12,17.4,0
Cyclone,Meda Lunuvila,Puttalam,10,18,11.0,0
Cyclone,Lunuvila South,Puttalam,11,5,10.1,0
Cyclone,Gal Amuna,Puttalam,5,21,14.2,1
Cyclone,Iranavila,Puttalam,5,27,14.2,1
