Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
FLOOD,001,1002,1002018,Telangapatha,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002018,Wattala,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,004,4001,4001003,Karampon West,Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,004,4001,4001003,Naranthanai North,Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,007,7002,7002012,Dimbulagala,Polannaruwa,2000-11-19,2000,11,19,262.3,7.3
FLOOD,004,4001,4001003,Naranthanai North West,Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,004,4001,4001003,Naranthanai,Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,004,4001,4001003,Naranthanai South,Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,004,4001,4001003,Suruvil,Jaffna,2008-03-19,2008,3,19,56.1,9.6
STRONG WIND,004,4001,4001042,Delft Centre,Jaffna,2006-10-28,2006,10,28,335.8,11.4
STRONG WIND,004,4001,4001042,Delft West,Jaffna,2006-10-28,2006,10,28,335.8,11.4
FLOOD,001,1002,1002018,Ewariwatta,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1001,1001027,Colombo Cinaman Grand,Colombo,2007-03-05,2007,3,5,130.0,6.0
FLOOD,001,1001,1001027,Colombo Cinaman Grand,Colombo,2007-03-05,2007,3,5,130.0,6.0
FLOOD,004,4001,4001003,Puliyankoodal,Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,004,4001,4001021,Karanavai,Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,004,4005,4005009,Anaivilunthankulam,Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
FLOOD,001,1002,1002018,Uswetakeiyawa,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,003,3001,3001021,Batuwangala West,Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,003,3001,3001021,Batuwangala West,Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,001,1002,1002018,Elapitiwala,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,003,3001,3001024,Kurupanawa,Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,003,3001,3001024,Kurupanawa,Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,001,1002,1002018,Balagala,Gampaha,2008-02-06,2008,2,6,36.0,7.7
