Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
FLOOD,005,5002,5002051,Panama,Ampara,2000-01-01,2000,1,1,271.1,9.6
STRONG WIND,001,1002,1002024,Henarathgoda,Gampaha,2007-04-22,2007,4,22,112.0,7.1
STRONG WIND,001,1002,1002024,Bendiyamulla,Gampaha,2007-04-22,2007,4,22,112.0,7.1
STRONG WIND,002,2002,2002009,Naula,Matale,2007-08-29,2007,8,29,109.0,8.8
FLOOD,004,4001,4001021,Thunnalai West,Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,004,4001,4001021,Nelliyady North,Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,004,4001,4001042,Delft West,Jaffna,2008-03-28,2008,3,28,56.1,9.6
GALE,002,2002,2002009,Elagamuwa,Matale,2007-09-15,2007,9,15,112.0,8.2
STRONG WIND,001,1002,1002024,Nedungamuwa,Gampaha,2007-04-22,2007,4,22,112.0,7.1
GALE,002,2002,2002009,Nalanda,Matale,2007-10-28,2007,10,28,341.0,5.1
FLOOD,004,4001,4001042,Delft South,Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,004,4001,4001042,Delft Centre West,Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,004,4001,4001042,Delft Centre,Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,004,4001,4001042,Delft East,Jaffna,2008-03-28,2008,3,28,56.1,9.6
GALE,002,2002,2002009,Bambaragahawatta,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,001,1002,1002018,Pattiyawala,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,003,3001,3001018,Hiniduma North,Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,003,3001,3001018,Hiniduma North,Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,001,1002,1002018,Welikadamulla,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1003,1003003,Panadura,Kaluthara,2004-09-25,2004,9,25,111.8,12.2
GALE,008,8002,8002009,Elhena,Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,008,8002,8002009,Elhena,Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,008,8002,8002009,Elhena,Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,008,8002,8002009,Elhena,Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,008,8002,8002009,Thimbiriya,Monaragala,2005-12-01,2005,12,1,235.0,7.7
GALE,008,8002,8002009,Thimbiriya,Monaragala,2005-12-01,2005,12,1,235.0,7.7
GALE,008,8002,8002009,Thimbiriya,Monaragala,2005-12-01,2005,12,1,235.0,7.7
GALE,008,8002,8002009,Thimbiriya,Monaragala,2005-12-01,2005,12,1,235.0,7.7
FLOOD,001,1002,1002018,Mabola,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,003,3001,3001015,Pitigala North,Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,003,3001,3001015,Pitigala North,Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,001,1002,1002018,Hendala South,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,003,3001,3001027,Ganegama,Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,003,3001,3001027,Ganegama,Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,003,3001,3001027,Ganegama,Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,001,1002,1002018,Dikovita,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,003,3001,3001030,Pathawelivitiya North,Galle,2008-02-06,2008,2,6,59.0,6.2
FLOOD,003,3001,3001030,Pathawelivitiya North,Galle,2008-02-06,2008,2,6,59.0,6.2
CYCLONE,005,5003,5003012,Mahadivulwewa,Trincomalee,2000-12-26,2000,12,26,275.0,12.1
FLOOD,001,1002,1002018,Hendala North,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,003,3001,3001012,Goluwamulla,Galle,2008-03-06,2008,3,6,78.0,6.3
FLOOD,003,3001,3001012,Goluwamulla,Galle,2008-03-06,2008,3,6,78.0,6.3
FLOOD,003,3001,3001012,Goluwamulla,Galle,2008-03-06,2008,3,6,78.0,6.3
FLOOD,001,1002,1002018,Matagoda,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002018,Thimbirigasyaya,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002018,Bopitiyathuduwa,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002018,Bopitiya,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002018,Delathura West,Gampaha,2008-03-06,2008,3,6,55.0,5.9
CYCLONE,007,7002,7002003,Unagalavehera,Polannaruwa,2000-12-26,2000,12,26,211.9,8.9
FLOOD,001,1002,1002018,Delathura East,Gampaha,2008-03-06,2008,3,6,55.0,5.9
GALE,008,8002,8002009,Nugamura,Monaragala,2006-02-01,2006,2,1,93.0,7.2
GALE,008,8002,8002009,Nugamura,Monaragala,2006-02-01,2006,2,1,93.0,7.2
GALE,008,8002,8002009,Nugamura,Monaragala,2006-02-01,2006,2,1,93.0,7.2
GALE,008,8002,8002009,Nugamura,Monaragala,2006-02-01,2006,2,1,93.0,7.2
GALE,008,8002,8002009,Elhena,Monaragala,2003-12-17,2003,12,17,235.0,7.7
FLOOD,004,4005,4005009,Periya Paranthan,Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
FLOOD,003,3002,3002003,Rambukana West,Matara,2008-02-06,2008,2,6,87.0,8.0
FLOOD,003,3002,3002024,Maragoda,Matara,2008-01-06,2008,1,6,111.0,8.9
FLOOD,003,3002,3002024,Maragoda,Matara,2008-01-06,2008,1,6,111.0,8.9
FLOOD,003,3002,3002024,Maragoda,Matara,2008-01-06,2008,1,6,111.0,8.9
FLOOD,003,3002,3002027,Ihala Vitiyala South,Matara,2008-01-06,2008,1,6,111.0,8.9
FLOOD,003,3002,3002027,Ihala Vitiyala South,Matara,2008-01-06,2008,1,6,111.0,8.9
FLOOD,002,2002,2002027,Perakanatta,Matale,2006-12-19,2006,12,19,185.0,4.8
GALE,008,8002,8002009,Elhena,Monaragala,2007-12-01,2007,12,1,235.0,7.7
GALE,008,8002,8002009,Elhena,Monaragala,2007-12-01,2007,12,1,235.0,7.7
GALE,008,8002,8002009,Elhena,Monaragala,2007-12-01,2007,12,1,235.0,7.7
STRONG WIND,006,6002,6002009,Dangaswewa,Puttalam,2007-04-14,2007,4,14,146.7,8.2
GALE,008,8002,8002009,Dahagoniya,Monaragala,2007-07-01,2007,7,1,113.0,11.2
GALE,008,8002,8002009,Dahagoniya,Monaragala,2007-07-01,2007,7,1,113.0,11.2
GALE,008,8002,8002009,Dahagoniya,Monaragala,2007-07-01,2007,7,1,113.0,11.2
STRONG WIND,006,6002,6002030,Ambakele,Puttalam,2007-04-05,2007,4,5,146.7,8.2
STRONG WIND,006,6002,6002030,Ambakele,Puttalam,2007-04-05,2007,4,5,146.7,8.2
FLOOD,003,3002,3002036,Watagedara,Matara,2008-04-06,2008,4,6,193.0,8.5
FLOOD,003,3002,3002042,Matara Beach Area,Matara,2008-01-06,2008,1,6,111.0,8.9
STRONG WIND,006,6002,6002024,Kottukachchiya,Puttalam,2007-06-30,2007,6,30,135.0,17.4
LANDSLIDE,009,9001,9001036,Kolombugama,Ratnapura,2007-12-25,2007,12,25,348.0,6.7
GALE,009,9001,9001036,Sidurupitiya,Ratnapura,2007-12-25,2007,12,25,348.0,6.7
STRONG WIND,008,8002,8002006,Dambagalla,Monaragala,2007-05-06,2007,5,6,117.0,8.8
STRONG WIND,008,8002,8002006,Puwakgoda,Monaragala,2007-05-06,2007,5,6,117.0,8.8
STRONG WIND,008,8002,8002006,Puwakgoda,Monaragala,2007-05-06,2007,5,6,117.0,8.8
STRONG WIND,008,8002,8002006,Puwakgoda,Monaragala,2007-05-06,2007,5,6,117.0,8.8
GALE,008,8002,8002003,Medipitiya,Monaragala,2007-10-14,2007,10,14,306.0,6.9
GALE,008,8002,8002003,Medipitiya,Monaragala,2007-10-14,2007,10,14,306.0,6.9
GALE,008,8002,8002003,Medipitiya,Monaragala,2007-10-14,2007,10,14,306.0,6.9
GALE,008,8002,8002003,Mallehewa,Monaragala,2007-10-27,2007,10,27,306.0,6.9
LANDSLIDE,008,8002,8002003,Medipitiya,Monaragala,2008-12-03,2008,12,3,235.0,7.7
FLOOD,001,1003,1003036,Kamburawala,Kaluthara,2008-05-31,2008,5,31,157.5,11.6
FLOOD,001,1003,1003036,Diggoda,Kaluthara,2008-05-31,2008,5,31,157.5,11.6
FLOOD,001,1003,1003036,Kamburawala,Kaluthara,2008-05-31,2008,5,31,157.5,11.6
FLOOD,001,1003,1003018,Gungamuwa,Kaluthara,2008-01-06,2008,1,6,58.4,7.7
FLOOD,001,1003,1003039,Walallavita,Kaluthara,2008-01-06,2008,1,6,58.4,7.7
GALE,008,8002,8002033,Mahagama,Monaragala,2006-08-13,2006,8,13,118.0,10.9
STRONG WIND,002,2002,2002027,Wanarawa,Matale,2007-04-28,2007,4,28,205.0,3.5
STRONG WIND,002,2002,2002027,Wanarawa,Matale,2007-04-28,2007,4,28,205.0,3.5
STRONG WIND,002,2002,2002027,Wanarawa,Matale,2007-04-28,2007,4,28,205.0,3.5
FLOOD,001,1003,1003012,Ihala Narangala,Kaluthara,2008-01-06,2008,1,6,58.4,7.7
FLOOD,008,8002,8002033,Punchiwewa,Monaragala,2007-04-15,2007,4,15,182.0,5.3
STRONG WIND,008,8002,8002033,Samagipura,Monaragala,2007-09-24,2007,9,24,135.0,9.8
STRONG WIND,008,8002,8002033,Muthuminigama,Monaragala,2008-03-14,2008,3,14,103.0,5.7
STRONG WIND,002,2002,2002027,Gemburuoya,Matale,2007-06-25,2007,6,25,111.0,10.3
FLOOD,004,4005,4005009,Ambalnagar,Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
FLOOD,004,4005,4005009,Thirunagar South,Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
STRONG WIND,008,8002,8002033,Habaraluwewa,Monaragala,2008-03-30,2008,3,30,103.0,5.7
STRONG WIND,002,2002,2002027,Aliwanguwa,Matale,2007-06-25,2007,6,25,111.0,10.3
FLOOD,008,8002,8002033,Habaraluwewa,Monaragala,2008-12-03,2008,12,3,235.0,7.7
FLOOD,004,4001,4001036,Jaffna Town East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001036,Reclamation East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,006,6002,6002006,Milankulama,Puttalam,2007-12-25,2007,12,25,265.9,12.3
FLOOD,004,4001,4001036,Fort,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001036,Koddady,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001036,Navanthurai South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001036,Navanthurai North,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001036,Moor Street South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001036,New Moor Street,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Irupalai South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Irupalai East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
GALE,001,1001,1001015,Avissawella,Colombo,2002-02-05,2002,2,5,69.0,7.8
GALE,001,1001,1001015,Avissawella,Colombo,2002-02-05,2002,2,5,69.0,7.8
GALE,001,1001,1001015,Avissawella,Colombo,2002-02-05,2002,2,5,69.0,7.8
FLOOD,004,4001,4001018,Kopay South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Kopay Centre,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Kopay North,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,001,1003,1003015,Anguruwathota,Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,004,4001,4001018,Neetvely North,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Neervely South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,001,1003,1003021,Etavila,Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,001,1003,1003030,Gurudola,Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,004,4001,4001018,Neervely West,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Sirupiddy East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,001,1003,1003010,Rathmalgoda East,Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,004,4001,4001018,Puttur East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Avarangal West,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,009,9001,9001033,On Rakwana Pothupitiya Road,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,001,1003,1003006,Atulugama East,Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,004,4001,4001018,Idaikkaddu,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Atchuvely South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Atchuvely West,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001018,Atchuvely North,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,001,1003,1003024,Kalavilakanda,Kaluthara,2008-02-06,2008,2,6,45.7,5.8
FLOOD,009,9001,9001006,Parakaduwa,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,001,1003,1003009,Horana,Kaluthara,2008-05-06,2008,5,6,157.5,11.6
FLOOD,009,9001,9001027,Kahawatta,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,004,4001,4001027,Thondamanaru South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001027,Kerudavil South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,009,9001,9001012,Kahangama,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,001,1003,1003003,Panadura,Kaluthara,2008-05-06,2008,5,6,157.5,11.6
FLOOD,009,9001,9001030,Gangodakanda,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,001,1003,1003033,Gorokgoda,Kaluthara,2008-05-06,2008,5,6,157.5,11.6
FLOOD,009,9001,9001003,Divurumpitiya,Ratnapura,2008-05-30,2008,5,30,473.2,10.1
FLOOD,009,9001,9001036,Kolombugama,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,005,5002,5002051,Panama,Ampara,2006-12-17,2006,12,17,553.1,9.1
FLOOD,009,9001,9001042,Rakwana,Ratnapura,2008-05-31,2008,5,31,473.2,10.1
FLOOD,001,1002,1002030,Udakanampella South,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Udakanampella North,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Senasungoda,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Galpothugoda,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Poogoda,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Udamapitigama,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Dethamulla,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Nikawela,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Malwana,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Samanabedda,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Walgama East,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Ovitigama,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Malwana Town,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002039,Yabaraluwa North,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Meniklanda,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Yabaraluwa South,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Giridara,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Biyagama South,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Kumarimulla,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Biyagama East,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Welgama,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Mabima West,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002039,Mabima East,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Samanabedda North,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Thalwatta,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Pahala Mapitigama,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002030,Kalukodayawa West,Gampaha,2008-02-06,2008,2,6,36.0,7.7
STRONG WIND,007,7001,7001018,Gonewa,Anuradhapura,2005-01-05,2005,1,5,72.6,10.0
FLOOD,004,4001,4001027,Kerudavil East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001027,Alvai North,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001027,Thuimpalai,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,004,4001,4001027,Thumpalai East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,001,1002,1002039,Bollegala,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Guruwala,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Pattivila South,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Udamapitigama South,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Pattivila North,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Giridara West,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,004,4001,4001027,Puloly North,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Welamitiyawa,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,002,2002,2002006,Pannampitiya,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,002,2002,2002006,Nayakumbura,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,001,1001,1001003,Mahawatta,Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,001,1001,1001003,Nawagampura,Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,002,2002,2002006,Kapuwatta,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,001,1002,1002039,Biyagama West,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Malinda East,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1001,1001003,Grandpass South,Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,001,1001,1001003,Khettarama,Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,001,1002,1002039,Biyagama North,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Pattiyagama,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Gonawala West,Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,001,1002,1002030,Dangalla,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Siyambalape South,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,002,2002,2002006,Dambulla Town,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,001,1001,1001003,Grandpass North,Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,002,2002,2002006,Rathmalgaha Ela,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,002,2002,2002006,Pohoranwewa,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,004,4001,4001027,Valvettithurai North West,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Athuparayaya,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,001,1002,1002030,Dangalla North,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Kanduboda East,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002039,Heiyanthuduwa East,Gampaha,2008-03-06,2008,3,6,55.0,5.9
FLOOD,001,1002,1002030,Kapugoda,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,004,4001,4001027,Puloly South,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Pahalawewa,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,004,4001,4001027,Manthikai,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Haluapullanawewa,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,001,1002,1002039,Heiyanthuduwa South,Gampaha,2008-03-06,2008,3,6,55.0,5.9
FLOOD,001,1002,1002030,Dompe,Gampaha,2008-03-06,2008,3,6,55.0,5.9
FLOOD,004,4001,4001027,Puloly North East,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Dambulugama,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,004,4001,4001027,Puloly South West,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Pahala Erevula,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,004,4001,4001027,Viyaparimoolai,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Kalogahaela,Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,004,4001,4001027,Polikandy,Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,002,2002,2002006,Ihala Erevula,Matale,2007-12-22,2007,12,22,185.0,4.8
STRONG WIND,003,3003,3003021,Kapugampotha,Hambantota,2004-09-06,2004,9,6,97.0,14.6
STRONG WIND,003,3003,3003021,Kapugampotha,Hambantota,2004-09-06,2004,9,6,97.0,14.6
STRONG WIND,003,3003,3003021,Kapugampotha,Hambantota,2004-09-06,2004,9,6,97.0,14.6
STRONG WIND,003,3003,3003030,Beliatta,Hambantota,2004-09-06,2004,9,6,97.0,14.6
STRONG WIND,001,1001,1001036,Kesbewa,Colombo,2004-03-25,2004,3,25,130.0,6.0
STRONG WIND,001,1003,1003003,Panadura,Kaluthara,2005-09-12,2005,9,12,111.8,12.2
FLOOD,004,4005,4005006,Puliyampokkanai,Kilinochchi,2001-11-22,2001,11,22,388.4,11.0
FLOOD,004,4005,4005006,Puliyampokkanai,Kilinochchi,2001-11-22,2001,11,22,388.4,11.0
FLOOD,009,9001,9001036,Kolombugama,Ratnapura,2003-05-17,2003,5,17,473.2,10.1
STRONG WIND,005,5002,5002042,Galkanda,Ampara,2005-09-24,2005,9,24,172.5,7.7
STRONG WIND,005,5002,5002042,Galkanda,Ampara,2005-09-24,2005,9,24,172.5,7.7
STRONG WIND,005,5002,5002042,Galkanda,Ampara,2005-09-24,2005,9,24,172.5,7.7
STRONG WIND,003,3003,3003033,Bataatha,Hambantota,2006-06-22,2006,6,22,76.0,16.4
STRONG WIND,003,3003,3003033,Bataatha,Hambantota,2006-06-22,2006,6,22,76.0,16.4
FLOOD,004,4005,4005009,Kanagambigaikulam,Kilinochchi,2007-12-23,2007,12,23,279.6,13.2
FLOOD,004,4005,4005009,Uthayanagar,Kilinochchi,2004-10-12,2004,10,12,319.9,10.9
FLOOD,001,1002,1002033,Gongitota,Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,001,1002,1002033,Gongitota West,Gampaha,2008-02-06,2008,2,6,36.0,7.7
STRONG WIND,005,5002,5002042,Thottama,Ampara,2006-02-09,2006,2,9,207.6,8.2
STRONG WIND,005,5002,5002042,Thottama,Ampara,2006-02-09,2006,2,9,207.6,8.2
STRONG WIND,005,5002,5002042,Thottama,Ampara,2006-02-09,2006,2,9,207.6,8.2
FLOOD,001,1002,1002033,Akbar Town,Gampaha,2008-02-06,2008,2,6,36.0,7.7
