id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,1,2,3,4,5,6,7,8,9,10,11,12
43436,BATTICALOA,81.7,7.72,8,5,PRECIP,2021,761.2,153.4,97.0,57.4,89.7,53.5,64.4,48.2,61.9,71.8,492.3,322.6
43436,BATTICALOA,81.7,7.72,8,5,PRECIP,2022,351.2,162.9,132.3,72.8,7.1,5.3,41.8,175.1,22.8,158.7,399.9,323.5
43436,BATTICALOA,81.7,7.72,8,5,PRECIP,2023,246.4,196.0,149.2,94.5,52.1,19.3,2.3,8.8,188.9,NA,NA,NA
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2010,21.0,4.5,72.3,482.9,727.8,200.4,117.8,14.7,306.6,158.3,971.5,292.1
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2011,61.7,33.7,149.5,354.3,197.8,178.6,98.2,148.6,76.2,242.0,188.3,45.3
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2012,158.7,140.1,122.0,532.3,152.0,88.6,41.1,200.3,180.0,507.3,207.4,134.8
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2013,90.9,164.3,108.3,148.1,404.5,260.4,198.2,21.8,216.8,140.3,204.7,32.3
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2014,85.6,19.5,144.8,254.7,83.5,238.7,35.2,255.4,312.7,449.6,278.8,476.5
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2015,32.7,122.5,220.9,267.7,169.2,237.8,37.3,90.7,631.4,235.4,525.8,376.6
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2016,65.3,106.7,91.3,185.9,752.4,132.3,49.2,1.1,29.0,374.0,404.8,165.1
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2017,82.7,92.3,133.8,81.2,343.4,141.5,47.2,70.3,355.2,467.1,294.2,172.3
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2018,45.7,108.8,68.8,265.0,421.7,155.8,68.9,63.9,263.7,539.7,420.7,139.5
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2019,15.4,157.0,41.4,193.8,126.9,257.2,136.1,288.4,609.8,354.9,433.6,250.3
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2020,115.6,0.1,41.3,212.5,200.2,111.9,196.1,97.5,517.7,125.6,143.6,321.9
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2021,132.4,45.9,148.6,325.6,351.4,317.3,278.3,164.0,189.4,324.2,483.4,95.6
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2022,76.3,24.9,54.9,474.2,351.7,91.0,12.5,113.1,98.7,506.6,276.6,309.6
43466,COLOMBO,79.87,6.9,7,5,PRECIP,2023,114.9,79.3,208.0,261.7,322.0,104.4,102.4,82.3,722.2,NA,NA,NA
