Disaster,Code Region,Code District,Code Commune,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,6,6002,6002012,Nawagattegama,Puttalam,2000,12,26,12.3,0
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,6,6,12.6,1
Cyclone,7,7001,7001057,Palugaswewa,Anuradhapura,2000,12,26,9.7,1
Cyclone,9,9001,9001045,Handagiriya(Gn),Ratnapura,2000,10,7,8.2,0
Cyclone,5,5002,5002042,Helagampura(Gn),Ampara,2000,12,4,9.1,1
Cyclone,2,2003,2003003,Pundaluoya(Gn),Nuwara Eliya,2000,1,18,7.4,1
Cyclone,5,5002,5002009,Mahaoya,Ampara,2000,10,4,6.2,0
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,5,12.6,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,6,12.6,1
Cyclone,9,9001,9001048,Panamura(Gn),Ratnapura,2000,5,30,10.1,1
Cyclone,7,7001,7001003,Konketiyawa ,Anuradhapura,2000,12,26,9.7,1
Cyclone,7,7001,7001006,"Kurulugama(Gn), Bandara Ulpatha(Gn)",Anuradhapura,2000,12,26,9.7,1
Cyclone,7,7001,7001009,Moragoda(Gn),Anuradhapura,2000,12,26,9.7,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,7,12.6,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,20,12.6,1
Cyclone,7,7001,7001057,Horivila(Gn),Anuradhapura,2000,12,26,9.7,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,23,12.6,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,7,3,12.5,1
Cyclone,7,7001,7001021,Kahatagasdigiliya,Anuradhapura,2000,12,26,9.7,1
Cyclone,7,7001,7001063,Handungamuwa,Anuradhapura,2000,12,26,9.7,1
Cyclone,8,8002,8002012,Wattegama(Gn),Monaragala,2000,12,20,7.7,0
Cyclone,8,8002,8002012,Madugama(Gn),Monaragala,2000,6,12,11.3,0
Cyclone,8,8002,8002012,Gemunupura(Gn),Monaragala,2000,6,12,11.3,0
Cyclone,8,8002,8002012,Buddama(Gn),Monaragala,2000,11,28,6.1,0
Cyclone,8,8002,8002012,Perakumpura(Gn),Monaragala,2000,9,28,9.8,0
Cyclone,8,8002,8002012,Buddama(Gn),Monaragala,2000,11,9,6.1,0
Cyclone,8,8002,8002012,Ambagahapitiya(Gn),Monaragala,2000,4,9,5.3,0
Cyclone,8,8002,8002012,Wattegama(Gn),Monaragala,2000,8,23,10.9,0
Cyclone,8,8002,8002012,Siyambalanduwa(Gn),Monaragala,2000,8,23,10.9,0
Cyclone,9,9001,9001009,Dodampe(Gn),Ratnapura,2000,6,19,12.6,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,7,8,12.5,1
Cyclone,9,9001,9001009,Ellawala Pahalagama(Gn),Ratnapura,2000,11,17,6.1,1
Cyclone,6,6002,6002006,"Serakkuliya(Gn),Mangalapura(Gn),Milankulama(Gn), ",Puttalam,2000,12,26,12.3,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,5,20,10.1,0
Cyclone,9,9001,9001015,Welanhinna(Gn),Ratnapura,2000,8,26,12.1,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,4,22,5.5,0
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,3,7,4.1,0
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,3,3,4.1,0
Cyclone,5,5002,5002033,Addalachchenai,Ampara,2000,12,26,9.1,0
Cyclone,5,5003,5003006,Kuchchaveli,Trincomalee,2000,12,26,12.1,0
Cyclone,5,5001,5001018,Manmunai North (Batti Town),Batticaloa,2000,12,26,11.0,0
Cyclone,8,8001,8001039,"Bingethenna(Gn),Pahala Kadurugamuwa(Gn),Magiripura(Gn)",Badulla,2000,12,14,7.1,1
Cyclone,8,8001,8001039,"Viharakele(Gn),Dodamwatta(Gn),Welanhinna(Gn)",Badulla,2000,9,27,9.7,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,5,12.6,0
Cyclone,8,8001,8001039,"Horadorowwa(Gn),Pahala Kadurugamuwa(Gn)",Badulla,2000,7,8,11.5,1
Cyclone,8,8001,8001039,"Viharakele(Gn),Ranjallawa(Gn),Haputhalegama(Gn)",Badulla,2000,8,16,11.0,1
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,6,28,12.6,0
Cyclone,5,5002,5002003,"Paranagama(Gn),Serupitiya(Gn),Sadamadulla(Gn)",Ampara,2000,5,1,7.5,1
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,6,6,12.6,0
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,8,11,12.1,0
Cyclone,9,9001,9001018,Balangoda,Ratnapura,2000,8,18,12.1,0
Cyclone,9,9001,9001015,Udagama(Gn),Ratnapura,2000,8,19,12.1,1
Cyclone,7,7002,7002012,Manampitiya(Gn),Polannaruwa,2000,12,26,8.9,1
Cyclone,9,9001,9001015,Budunwela(Gn),Ratnapura,2000,9,8,11.2,1
Cyclone,4,4005,4005009,Karachchi,Kilinochchi,2000,12,26,13.2,1
Cyclone,8,8001,8001039,"Pahala Kadurugamuwa(Gn),Hela Kadurugamuwa(Gn)",Badulla,2000,6,8,11.5,1
Cyclone,7,7001,7001045,Thambuttegama,Anuradhapura,2000,12,26,9.7,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,7,12.6,0
Cyclone,6,6001,6001036,"Muwanwellegedara(Gn),Medagama(Gn)",Kurunegala,2000,12,25,9.3,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,8,19,12.1,0
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,8,26,12.1,0
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,7,8,12.5,0
Cyclone,5,5001,5001018,Kallady Veloor(Gn),Batticaloa,2000,12,26,11.0,1
Cyclone,7,7001,7001045,Siyambalagaswewa,Anuradhapura,2000,12,26,9.7,1
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,11,17,6.1,1
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,6,19,12.6,1
Cyclone,9,9001,9001045,Weligepola,Ratnapura,2000,7,10,12.5,1
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,2,25,5.0,1
Cyclone,5,5003,5003006,"Pulmoddi (Gn)1,2,3,4",Trincomalee,2000,12,26,12.1,1
Cyclone,9,9001,9001015,Imbulpe,Ratnapura,2000,6,23,12.6,0
Cyclone,4,4003,4003009,Vavuniya(Tamil),Vavuniya,2000,12,26,10.1,1
Cyclone,5,5002,5002018,Samanthurai,Ampara,2000,4,12,5.7,0
Cyclone,2,2003,2003003,Kothmale,Nuwara Eliya,2000,1,18,7.4,0
Cyclone,7,7001,7001054,Kekirawa,Anuradhapura,2000,12,26,9.7,0
Cyclone,7,7001,7001057,Palugaswewa,Anuradhapura,2000,12,26,9.7,0
Cyclone,7,7001,7001009,Medawachchiya,Anuradhapura,2000,12,26,9.7,0
Cyclone,9,9001,9001048,Embilipitiya,Ratnapura,2000,5,30,10.1,0
Cyclone,5,5002,5002033,Thikkanagar,Ampara,2000,12,26,9.1,1
Cyclone,9,9001,9001015,Naluwela(Gn),Ratnapura,2000,8,31,12.1,1
Cyclone,6,6001,6001018,Nammuwawa (Gn),Kurunegala,2000,12,28,9.3,1
Cyclone,6,6001,6001018,"Kanagallewa (Gn), Aboddagama (Gn), Udunowa (Gn) ",Kurunegala,2000,12,25,9.3,1
Cyclone,9,9001,9001009,Kiriella,Ratnapura,2000,5,21,10.1,1
Cyclone,9,9001,9001015,Halpe(Gn),Ratnapura,2000,9,8,11.2,1
Cyclone,9,9001,9001015,Imbulpe(Gn),Ratnapura,2000,7,21,12.5,1
Cyclone,9,9001,9001015,Muttettuwegama(Gn),Ratnapura,2000,7,18,12.5,1
Cyclone,8,8002,8002012,Buddama (Gn),Monaragala,2000,7,24,11.2,1
Cyclone,8,8002,8002012,Kodayana (Gn),Monaragala,2000,7,25,11.2,1
Cyclone,8,8002,8002012,Helamulla (Gn),Monaragala,2000,7,31,11.2,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,4,9.8,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,11,9.8,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,9,28,9.8,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,10,23,6.9,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,11,28,6.1,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,12,6,7.7,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,12,20,7.7,1
Cyclone,5,5002,5002009,Mahaoya,Ampara,2000,10,4,6.2,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,12,26,7.7,1
Cyclone,8,8002,8002012,Siyambalanduwa (Gn),Monaragala,2000,10,20,6.9,1
Cyclone,8,8002,8002012,Siyambalanduwa (Gn),Monaragala,2000,5,29,8.8,1
Cyclone,5,5001,5001006,Vahaneri(Gn),Batticaloa,2000,12,26,11.0,1
Cyclone,6,6002,6002039,"Thoduwawa South (Gn), Thoduwawa East (Gn), ",Puttalam,2000,10,20,11.0,1
Cyclone,9,9001,9001045,Weligepola,Ratnapura,2000,7,10,12.5,0
Cyclone,6,6002,6002042,"Pahala Katuneriya,Katuneriya(Gn2)",Puttalam,2000,12,26,12.3,1
Cyclone,6,6002,6002033,"Weerapandiyana (Gn), Punchi Vilattawa (Gn), Mugunuwatawana",Puttalam,2000,12,26,12.3,1
Cyclone,6,6002,6002033,"Manuwangama West(Gn),Manuwangama East (Gn),Thissogama(Gn)",Puttalam,2000,8,23,16.4,1
Cyclone,6,6002,6002012,"Maha Andarawewa(Gn), Kirimetiyawa(Gn), Moragahawewa(Gn), ",Puttalam,2000,12,26,12.3,1
Cyclone,9,9001,9001009,Hadukanda(Gn),Ratnapura,2000,5,21,10.1,1
Cyclone,8,8002,8002012,Perakumpura (Gn),Monaragala,2000,7,8,11.2,1
Cyclone,8,8002,8002012,Siyambalanduwa,Monaragala,2000,8,23,10.9,1
Cyclone,9,9001,9001015,Mamalgaha(Gn),Ratnapura,2000,2,23,5.0,1
Cyclone,9,9001,9001015,Rawanakanda(Gn),Ratnapura,2000,1,3,6.6,1
Cyclone,9,9001,9001015,Pinnawala(Gn),Ratnapura,2000,11,7,6.1,1
Cyclone,9,9001,9001015,Karagasthalawa(Gn),Ratnapura,2000,8,7,12.1,1
Cyclone,9,9001,9001015,Morahela(Gn),Ratnapura,2000,7,7,12.5,1
Cyclone,9,9001,9001015,Muttettuwegama(Gn),Ratnapura,2000,7,7,12.5,1
Cyclone,9,9001,9001015,Karagasthalawa(Gn),Ratnapura,2000,3,7,4.1,1
Cyclone,9,9001,9001015,Pallewela(Gn),Ratnapura,2000,6,23,12.6,1
Cyclone,9,9001,9001015,Alakolaella(Gn),Ratnapura,2000,6,20,12.6,1
Cyclone,5,5001,5001009,Valachchenai(Gn),Batticaloa,2000,12,26,11.0,1
Cyclone,7,7001,7001024,"Horowpothana (Gn), Medawachchiya Junction (Gn) ",Anuradhapura,2000,12,26,9.7,1
Cyclone,5,5002,5002003,Dehiattakandiya,Ampara,2000,1,5,9.6,0
Cyclone,9,9001,9001015,Wegapitiya(Gn),Ratnapura,2000,7,6,12.5,1
Cyclone,9,9001,9001015,Karadiyamulla(Gn),Ratnapura,2000,6,6,12.6,1
Cyclone,8,8002,8002012,Wattegama (Gn),Monaragala,2000,3,24,5.7,1
Cyclone,8,8002,8002012,Madugama (Gn),Monaragala,2000,3,24,5.7,1
Cyclone,9,9001,9001015,Wegapitiya(Gn),Ratnapura,2000,5,6,10.1,1
Cyclone,9,9001,9001015,Kanathiriyanwela(Gn),Ratnapura,2000,4,6,5.5,1
Cyclone,7,7002,7002012,Dimbulagala,Polannaruwa,2000,12,26,8.9,0
Cyclone,8,8002,8002012,Ambagahapitiya (Gn),Monaragala,2000,4,26,5.3,1
Cyclone,9,9001,9001015,Pandeniya(Gn),Ratnapura,2000,5,20,10.1,1
Cyclone,9,9001,9001015,Pandeniya(Gn),Ratnapura,2000,4,22,5.5,1
Cyclone,9,9001,9001015,Oluganthota(Gn),Ratnapura,2000,7,3,12.5,1
Cyclone,9,9001,9001015,Karadiyamulla(Gn),Ratnapura,2000,3,3,4.1,1
Cyclone,8,8002,8002012,Liyangolla (Gn),Monaragala,2000,5,7,8.8,1
Cyclone,9,9001,9001009,Deheragoda(Gn),Ratnapura,2000,8,6,12.1,1
Cyclone,6,6002,6002006,Vanathavilluwa,Puttalam,2000,12,26,12.3,0
Cyclone,6,6002,6002033,Chilaw,Puttalam,2000,8,23,16.4,0
Cyclone,5,5003,5003006,Kuchchaveli,Trincomalee,2000,12,26,12.1,1
Cyclone,5,5002,5002006,Dorakumbura(Gn),Ampara,2000,12,26,9.1,0
Cyclone,7,7001,7001063,Handungamuwa,Anuradhapura,2000,12,28,9.7,1
Cyclone,7,7001,7001054,"Ihala Puliyankulama(Gn),Annasiwewa",Anuradhapura,2000,12,26,9.7,1
Cyclone,5,5003,5003003,Padavi Sri Pura(Gn),Trincomalee,2000,12,26,12.1,0
Cyclone,5,5003,5003006,Kumburupiddi North(Gn),Trincomalee,2000,12,26,12.1,0
Cyclone,5,5003,5003021,Vendrasanpura(Gn),Trincomalee,2000,12,26,12.1,0
Cyclone,1,1003,1003027,"Pelapitiyagoda(Gn),Pelapitiyagoda North(Gn)",Kaluthara,2000,10,7,9.6,1
Cyclone,5,5001,5001018,Porativu Pattu (Ellavul),Batticaloa,2000,12,26,11.0,0
Cyclone,7,7002,7002012,Welikanda,Polannaruwa,2000,12,26,8.9,0
Cyclone,5,5002,5002006,Dorakumbura(Gn),Ampara,2000,12,26,9.1,1
Cyclone,6,6002,6002042,Chilaw,Puttalam,2000,12,26,12.3,0
Cyclone,8,8001,8001030,Guruthalawa (Gn),Badulla,2000,12,8,7.1,0
Cyclone,8,8001,8001027,"Medawela (Gn), Uduhawara (Gn)",Badulla,2000,12,8,7.1,0
Cyclone,1,1003,1003027,"Pelapitiyagoda(Gn),Pelapitiyagoda North(Gn)",Kaluthara,2000,10,7,9.6,0
Cyclone,3,3001,3001027,Wanduramba(Gn),Galle,2000,1,6,7.4,0
Cyclone,5,5002,5002018,Malayadikiramam(Gn),Ampara,2000,12,4,9.1,0
Cyclone,5,5002,5002042,Helagampura(Gn),Ampara,2000,12,4,9.1,0
Cyclone,2,2003,2003003,Pundaluoya(Gn),Nuwara Eliya,2000,1,18,7.4,0
Cyclone,7,7001,7001063,Handungamuwa,Anuradhapura,2000,12,26,9.7,0
Cyclone,7,7001,7001057,Horivila(Gn),Anuradhapura,2000,12,26,9.7,0
Cyclone,5,5002,5002042,Damana,Ampara,2000,12,26,9.1,0
Cyclone,7,7001,7001054,"Ihala Puliyankulama(Gn),Annasiwewa",Anuradhapura,2000,12,26,9.7,0
Cyclone,5,5003,5003003,Padavi Sri Pura(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003006,Kumburupiddi North(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,8,8001,8001039,"Viharakele(Gn),Ranjallawa(Gn),Haputhalegama(Gn)",Badulla,2000,8,16,11.0,0
Cyclone,8,8001,8001039,"Horadorowwa(Gn),Pahala Kadurugamuwa(Gn)",Badulla,2000,7,8,11.5,0
Cyclone,8,8001,8001039,"Viharakele(Gn),Dodamwatta(Gn),Welanhinna(Gn)",Badulla,2000,9,27,9.7,0
Cyclone,8,8001,8001039,"Bingethenna(Gn),Pahala Kadurugamuwa(Gn),Magiripura(Gn)",Badulla,2000,12,14,7.1,0
Cyclone,6,6001,6001018,Rasnayakapura,Kurunegala,2000,12,25,9.3,0
Cyclone,6,6001,6001018,Rasnayakapura,Kurunegala,2000,12,28,9.3,0
Cyclone,5,5002,5002033,Addalachchenai,Ampara,2000,12,26,9.1,1
Cyclone,6,6001,6001036,"Muwanwellegedara(Gn),Medagama(Gn)",Kurunegala,2000,12,25,9.3,0
Cyclone,7,7002,7002003,Hingurakgoda,Polannaruwa,2000,12,26,8.9,1
Cyclone,5,5003,5003012,Morawewa,Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003012,"Morawewa(Gn),Mahadivulwewa(Gn)",Trincomalee,2000,12,26,12.1,0
Cyclone,7,7001,7001045,Siyambalagaswewa,Anuradhapura,2000,12,26,9.7,0
Cyclone,7,7002,7002003,Unagalavehera (Gn),Polannaruwa,2000,12,26,8.9,0
Cyclone,5,5003,5003018,Mollipothana(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003015,Uppuveli(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003033,Ilangathurai(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003030,Srimangalapura(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003027,Alimnagar(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003024,Annal Nagar(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003021,Vendrasanpura(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,5,5003,5003009,Pulikandikulama(Gn),Trincomalee,2000,12,26,12.1,1
Cyclone,8,8001,8001027,Uva Paranagama,Badulla,2000,8,12,11.0,0
Cyclone,7,7001,7001006,"Kurulugama(Gn), Bandara Ulpatha(Gn)",Anuradhapura,2000,12,26,9.7,0
Cyclone,7,7001,7001003,Konketiyawa ,Anuradhapura,2000,12,26,9.7,0
Cyclone,9,9001,9001048,Panamura(Gn),Ratnapura,2000,5,30,10.1,0
Cyclone,5,5003,5003009,Gomarankadawala,Trincomalee,2000,12,26,12.1,0
Cyclone,5,5003,5003003,Padavi Sri Pura,Trincomalee,2000,12,26,12.1,0
Cyclone,8,8002,8002012,Weragoda(Gn),Monaragala,2000,6,12,11.3,1
Cyclone,5,5002,5002006,Padiyathalawa,Ampara,2000,12,26,9.1,0
Cyclone,8,8002,8002012,Wattegama(Gn),Monaragala,2000,12,20,7.7,1
Cyclone,7,7001,7001063,Galnewa,Anuradhapura,2000,12,28,9.7,0
Cyclone,8,8002,8002012,Wattegama(Gn),Monaragala,2000,12,26,7.7,1
Cyclone,9,9001,9001018,Thanjanthenna(Gn),Ratnapura,2000,6,30,12.6,1
Cyclone,9,9001,9001018,Bulathgama(Gn),Ratnapura,2000,6,28,12.6,1
Cyclone,7,7002,7002003,Unagalavehera (Gn),Polannaruwa,2000,12,26,8.9,1
Cyclone,5,5003,5003012,"Morawewa(Gn),Mahadivulwewa(Gn)",Trincomalee,2000,12,26,12.1,1
Cyclone,9,9001,9001018,Rassagala(Gn),Ratnapura,2000,6,6,12.6,1
Cyclone,9,9001,9001018,Horaketiya(Gn),Ratnapura,2000,8,18,12.1,1
Cyclone,7,7001,7001024,"Horowpothana (Gn), Medawachchiya Junction (Gn) ",Anuradhapura,2000,12,26,9.7,0
Cyclone,9,9001,9001018,Pallekanda(Gn),Ratnapura,2000,10,6,8.2,1
Cyclone,9,9001,9001018,Bowatta(Gn),Ratnapura,2000,3,7,4.1,1
Cyclone,6,6002,6002042,"Pahala Katuneriya,Katuneriya(Gn2)",Puttalam,2000,12,26,12.3,0
Cyclone,6,6002,6002033,"Manuwangama West(Gn),Manuwangama East (Gn),Thissogama(Gn)",Puttalam,2000,8,23,16.4,0
Cyclone,6,6002,6002012,"Maha Andarawewa(Gn), Kirimetiyawa(Gn), Moragahawewa(Gn), ",Puttalam,2000,12,26,12.3,0
Cyclone,6,6002,6002006,"Serakkuliya(Gn),Mangalapura(Gn),Milankulama(Gn), ",Puttalam,2000,12,26,12.3,0
Cyclone,7,7002,7002003,Hingurakgoda,Polannaruwa,2000,12,26,8.9,0
Cyclone,5,5003,5003021,Kanthalai,Trincomalee,2000,12,26,12.1,0
Cyclone,8,8002,8002012,Wattegama (Gn),Monaragala,2000,3,24,5.7,0
Cyclone,5,5003,5003024,Kinniya,Trincomalee,2000,12,26,12.1,0
Cyclone,5,5003,5003033,Verugal/ Echchalampattai,Trincomalee,2000,12,26,12.1,0
Cyclone,9,9001,9001003,Maimigoda,Ratnapura,2000,12,26,6.7,1
Cyclone,4,4003,4003009,Vavuniya(Tamil),Vavuniya,2000,12,26,10.1,0
Cyclone,5,5003,5003006,"Pulmoddi (Gn)1,2,3,4",Trincomalee,2000,12,26,12.1,0
Cyclone,5,5001,5001018,Kallady Veloor(Gn),Batticaloa,2000,12,26,11.0,0
Cyclone,9,9001,9001018,Pettigala(Gn),Ratnapura,2000,12,7,6.7,1
Cyclone,8,8002,8002012,Siyambalanduwa(Gn),Monaragala,2000,8,23,10.9,1
Cyclone,8,8002,8002012,Wattegama(Gn),Monaragala,2000,8,23,10.9,1
Cyclone,5,5002,5002003,"Paranagama(Gn),Serupitiya(Gn),Sadamadulla(Gn)",Ampara,2000,5,1,7.5,0
Cyclone,8,8002,8002012,Ambagahapitiya(Gn),Monaragala,2000,4,9,5.3,1
Cyclone,8,8002,8002012,Buddama(Gn),Monaragala,2000,11,9,6.1,1
Cyclone,8,8002,8002012,Perakumpura(Gn),Monaragala,2000,9,28,9.8,1
