Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month
LA2004,LANDSLIDE,lka008,lka008001,lka008001030,Ambewela(GN),Badulla,2004-12-15,2004,12
LA2003,LANDSLIDE,lka009,lka009002,lka009002024,Pelempitiya(GN),Kegalle,2003-04-27,2003,4
LA2006,LANDSLIDE,lka009,lka009002,lka009002024,,Kegalle,2006-10-23,2006,10
RA2007,RAINS,lka007,lka007001,lka007001015,Theppankulama(GN),Anuradhapura,2007-10-23,2007,10
LA2007,LANDSLIDE,lka009,lka009002,lka009002033,Behenella(GN),Kegalle,2007-12-05,2007,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Pitiyakumbura(GN),Badulla,2006-12-19,2006,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Wethalawa(GN),Badulla,2006-12-19,2006,12
LA2006,LANDSLIDE,lka009,lka009002,lka009002033,Miyanavita(GN),Kegalle,2006-10-23,2006,10
LA2006,LANDSLIDE,lka009,lka009002,lka009002033,Wattegedara(GN),Kegalle,2006-10-23,2006,10
LA2005,LANDSLIDE,lka009,lka009002,lka009002033,Udabage(GN),Kegalle,2005-04-27,2005,4
LA2006,LANDSLIDE,lka009,lka009002,lka009002006,Randiwala(GN),Kegalle,2006-08-12,2006,8
LA2003,LANDSLIDE,lka008,lka008001,lka008001030,Mudunpitawatta,Badulla,2003-11-01,2003,11
LA2003,LANDSLIDE,lka008,lka008001,lka008001030,Hulankapolla(GN),Badulla,2003-01-12,2003,1
LA2003,LANDSLIDE,lka008,lka008001,lka008001030,Ambewela(GN),Badulla,2003-11-18,2003,11
LA2003,LANDSLIDE,lka008,lka008001,lka008001030,welimada town(GN),Badulla,2003-12-18,2003,12
LA2003,LANDSLIDE,lka008,lka008001,lka008001030,Wirahawatta(GN),Badulla,2003-12-30,2003,12
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,,Kegalle,2006-11-10,2006,11
RA2004,RAINS,lka007,lka007001,lka007001054,Maha Elakaduwa,Anuradhapura,2004-12-18,2004,12
RA2008,RAINS,lka008,lka008001,lka008001027,Kodakumbura(GN),Badulla,2008-12-01,2008,12
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,Bambarapana(GN),Badulla,2007-12-17,2007,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Welamedagama(GN),Badulla,2006-12-28,2006,12
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,paranagama(GN),Badulla,2007-05-05,2007,5
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,Karangahaulpatha(GN),Badulla,2007-11-16,2007,11
LA2003,LANDSLIDE,lka008,lka008001,lka008001027,Ulugala(GN),Badulla,2003-09-11,2003,9
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Udumagama(GN),Kegalle,2006-11-10,2006,11
