Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Rainfall(mm),Wind Speed(mph),Cyclone
GA2000,GALE,lka008,lka008001,lka008001039,"Pahala Kadurugamuwa(GN),Hela Kadurugamuwa(GN)",Badulla,2000-06-08,2000,6,54.0,11.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-10,2000,6,300.3,12.6,1
GA2000,GALE,lka008,lka008002,lka008002012,Weragoda(GN),Monaragala,2000-06-12,2000,6,82.0,11.3,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Kotiyagala(GN),Monaragala,2000-06-12,2000,6,82.0,11.3,1
GA2000,GALE,lka008,lka008002,lka008002012,Madugama(GN),Monaragala,2000-06-12,2000,6,82.0,11.3,1
GA2000,GALE,lka008,lka008002,lka008002012,Gemunupura(GN),Monaragala,2000-06-12,2000,6,82.0,11.3,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Dodampe(GN),Ratnapura,2000-06-19,2000,6,300.3,12.6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-06-19,2000,6,300.3,12.6,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-20,2000,6,300.3,12.6,1
GA2000,GALE,lka009,lka009001,lka009001015,Alakolaella(GN),Ratnapura,2000-06-20,2000,6,300.3,12.6,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-23,2000,6,300.3,12.6,1
GA2000,GALE,lka009,lka009001,lka009001015,Pallewela(GN),Ratnapura,2000-06-23,2000,6,300.3,12.6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Bulathgama(GN),Ratnapura,2000-06-28,2000,6,300.3,12.6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-28,2000,6,300.3,12.6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-30,2000,6,300.3,12.6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Thanjanthenna(GN),Ratnapura,2000-06-30,2000,6,300.3,12.6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-07-02,2000,7,291.0,12.5,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-03,2000,7,291.0,12.5,1
GA2000,GALE,lka009,lka009001,lka009001015,Oluganthota(GN),Ratnapura,2000-07-03,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-07-03,2000,7,291.0,12.5,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-05,2000,7,113.0,11.2,1
GA2000,GALE,lka009,lka009001,lka009001015,Wegapitiya(GN),Ratnapura,2000-07-06,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Muttettuwegama(GN),Ratnapura,2000-07-07,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Morahela(GN),Ratnapura,2000-07-07,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-07,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Perakumpura (GN),Monaragala,2000-07-08,2000,7,113.0,11.2,1
GA2000,GALE,lka008,lka008001,lka008001039,"Horadorowwa(GN),Pahala kadurugamuwa(GN)",Badulla,2000-07-08,2000,7,52.0,11.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-08,2000,7,291.0,12.5,1
GA2000,STRONG WIND,lka001,lka001003,lka001003027,Dodangoda,Kaluthara,2000-07-10,2000,7,66.0,13.2,1
ST2007,STRONG WIND,lka009,lka009001,lka009001045,Weligepola,Ratnapura,2000-07-10,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-11,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-07-12,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-18,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Muttettuwegama(GN),Ratnapura,2000-07-18,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-21,2000,7,291.0,12.5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe(GN),Ratnapura,2000-07-21,2000,7,291.0,12.5,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-24,2000,7,113.0,11.2,1
GA2000,GALE,lka008,lka008002,lka008002012,Buddama (GN),Monaragala,2000-07-24,2000,7,113.0,11.2,1
GA2000,GALE,lka008,lka008002,lka008002012,Kodayana (GN),Monaragala,2000-07-25,2000,7,113.0,11.2,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-25,2000,7,113.0,11.2,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-31,2000,7,113.0,11.2,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Helamulla (GN),Monaragala,2000-07-31,2000,7,113.0,11.2,1
GA2000,GALE,lka009,lka009001,lka009001009,Deheragoda(GN),Ratnapura,2000-08-06,2000,8,300.6,12.1,1
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-06,2000,8,74.0,11.0,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Karagasthalawa(GN),Ratnapura,2000-08-07,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-08-07,2000,8,118.0,10.9,1
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-07,2000,8,74.0,11.0,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-09,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-08-11,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka008,lka008001,lka008001030,Welimada,Badulla,2000-08-12,2000,8,74.0,11.0,1
