,District,Year,1,2,3,4,5,6,7,8,9,10,11,12
60,Galle,2014,61.0,42.9,68.0,158.7,185.1,246.8,64.7,445.0,311.4,479.6,354.3,260.2
61,Galle,2015,68.3,114.8,138.2,171.3,282.1,160.2,249.2,153.3,474.1,316.1,354.1,95.5
62,Galle,2016,40.7,250.1,39.4,76.0,440.8,119.1,128.2,76.8,43.9,370.5,332.5,63.4
63,Galle,2017,225.1,37.2,82.0,178.5,350.5,94.3,137.3,179.0,239.0,285.7,549.2,75.0
64,Galle,2018,11.0,129.0,120.1,169.7,529.6,136.5,132.2,105.5,230.1,424.9,243.0,52.3
65,Galle,2019,27.7,120.7,148.2,88.4,269.8,177.4,124.5,426.0,592.6,604.3,309.4,135.3
66,Galle,2020,44.2,27.4,17.7,182.5,314.4,138.2,311.3,164.9,448.8,160.2,233.3,155.1
67,Galle,2021,195.8,15.4,122.4,407.5,294.8,215.4,202.1,140.0,140.8,216.2,473.7,210.6
68,Galle,2022,72.9,118.1,144.2,257.0,505.8,192.7,61.5,184.4,74.6,749.9,162.3,190.4
70,Hambantota,2010,14.5,1.7,34.6,25.8,123.6,74.5,36.2,48.4,18.6,56.9,223.9,216.5
71,Hambantota,2011,197.3,95.6,57.4,99.4,16.1,1.9,7.4,141.9,23.4,111.9,180.3,82.2
72,Hambantota,2012,24.5,54.6,75.9,98.4,3.0,53.3,7.8,133.4,134.2,216.2,212.5,280.6
73,Hambantota,2013,100.4,170.3,59.4,45.2,126.5,55.0,33.7,0.5,114.2,52.8,147.9,60.4
74,Hambantota,2014,2.4,0.0,97.6,13.6,76.1,21.2,5.7,44.5,44.1,255.0,205.4,330.1
75,Hambantota,2015,7.5,37.2,57.2,137.7,48.8,18.7,31.9,159.3,300.8,163.8,228.2,125.3
76,Hambantota,2016,1.4,40.7,25.0,61.4,178.3,9.7,34.8,7.3,0.1,25.6,178.4,103.5
77,Hambantota,2017,157.5,66.7,88.9,81.1,141.9,22.1,19.9,27.5,51.9,76.3,274.3,160.5
78,Hambantota,2018,22.7,5.5,93.3,93.5,130.6,42.1,12.9,19.3,54.0,145.4,96.4,98.8
79,Hambantota,2019,1.6,100.1,4.2,79.1,50.6,29.5,28.6,164.5,460.3,363.1,197.3,255.2
80,Hambantota,2020,16.2,29.2,7.0,91.8,25.9,44.2,91.8,68.0,164.4,11.7,101.5,65.8
81,Hambantota,2021,75.5,2.3,111.7,29.7,122.0,23.2,112.0,54.5,81.3,160.7,229.2,205.0
84,Jaffna,2010,47.1,0.0,0.1,66.6,94.5,29.7,5.1,127.5,142.8,115.2,492.2,375.8
85,Jaffna,2011,81.0,3.1,1.3,210.9,11.9,1.3,0.7,15.1,31.1,301.1,518.1,295.1
86,Jaffna,2012,6.4,0.2,8.3,65.0,7.2,0.0,2.6,8.6,135.4,395.3,80.6,233.6
87,Jaffna,2013,151.8,151.1,117.0,53.8,71.9,0.0,0.0,56.3,100.4,81.7,161.9,87.4
88,Jaffna,2014,92.8,22.7,0.0,8.5,80.6,8.1,1.6,108.5,35.7,262.1,496.4,251.6
