Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Cyclone
40027,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-05-14,2000,5,0
40031,STRONG WIND,lka009,lka009001,lka009001048,Embilipitiya,Ratnapura,2000-05-16,2000,5,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Pandeniya(GN),Ratnapura,2000-05-20,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-05-20,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Hadukanda(GN),Ratnapura,2000-05-21,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-05-21,2000,5,1
40025,GALE,lka008,lka008002,lka008002012,Liyangolla (GN),Monaragala,2000-05-26,2000,5,0
40024,STRONG WIND,lka009,lka009001,lka009001015,Wegapitiya(GN),Ratnapura,2000-05-27,2000,5,0
40028,STRONG WIND,lka009,lka009001,lka009001009,Hadukanda(GN),Ratnapura,2000-05-27,2000,5,0
GA2000,GALE,lka008,lka008002,lka008002012,Siyambalanduwa (GN),Monaragala,2000-05-29,2000,5,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-05-29,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001048,Embilipitiya,Ratnapura,2000-05-30,2000,5,1
ST2000,STRONG WIND,lka009,lka009001,lka009001048,,Ratnapura,2000-05-30,2000,5,1
40030,GALE,lka008,lka008002,lka008002012,Siyambalanduwa (GN),Monaragala,2000-05-31,2000,5,0
GA2000,STRONG WIND,lka003,lka003001,lka003001027,Baddegama,Galle,2000-06-01,2000,6,1
40045,STRONG WIND,lka009,lka009001,lka009001018,Thanjanthenna(GN),Ratnapura,2000-06-02,2000,6,0
40043,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-03,2000,6,0
40034,GALE,lka009,lka009001,lka009001015,Karadiyamulla(GN),Ratnapura,2000-06-03,2000,6,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-04,2000,6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-05,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-06,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-06,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001015,Karadiyamulla(GN),Ratnapura,2000-06-06,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001018,Rassagala(GN),Ratnapura,2000-06-06,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-07,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-06-08,2000,6,1
GA2000,GALE,lka008,lka008001,lka008001039,"Pahala Kadurugamuwa(GN),Hela Kadurugamuwa(GN)",Badulla,2000-06-08,2000,6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-10,2000,6,1
40044,STRONG WIND,lka009,lka009001,lka009001018,Bulathgama(GN),Ratnapura,2000-06-11,2000,6,0
GA2000,GALE,lka008,lka008002,lka008002012,Weragoda(GN),Monaragala,2000-06-12,2000,6,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Kotiyagala(GN),Monaragala,2000-06-12,2000,6,1
GA2000,GALE,lka008,lka008002,lka008002012,Gemunupura(GN),Monaragala,2000-06-12,2000,6,1
GA2000,GALE,lka008,lka008002,lka008002012,Madugama(GN),Monaragala,2000-06-12,2000,6,1
40041,GALE,lka008,lka008002,lka008002012,Madugama(GN),Monaragala,2000-06-15,2000,6,0
40039,GALE,lka008,lka008002,lka008002012,Weragoda(GN),Monaragala,2000-06-16,2000,6,0
40032,STRONG WIND,lka003,lka003001,lka003001027,Baddegama,Galle,2000-06-16,2000,6,0
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Dodampe(GN),Ratnapura,2000-06-19,2000,6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-06-19,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001015,Alakolaella(GN),Ratnapura,2000-06-20,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-20,2000,6,1
40037,GALE,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-06-21,2000,6,0
40040,STRONG WIND,lka008,lka008002,lka008002012,Kotiyagala(GN),Monaragala,2000-06-22,2000,6,0
40035,GALE,lka009,lka009001,lka009001018,Rassagala(GN),Ratnapura,2000-06-22,2000,6,0
GA2000,GALE,lka009,lka009001,lka009001015,Pallewela(GN),Ratnapura,2000-06-23,2000,6,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-23,2000,6,1
40033,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-25,2000,6,0
40046,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-25,2000,6,0
40042,STRONG WIND,lka009,lka009001,lka009001009,Dodampe(GN),Ratnapura,2000-06-26,2000,6,0
