Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Ellagawa,Ratnapura,2004,5,27,0.33,0
Cyclone,Ellagawa Pahalagama,Ratnapura,2004,9,3,0.37,0
Cyclone,Dodampe,Ratnapura,2004,4,5,0.18,0
Cyclone,Elapatha,Ratnapura,2009,5,24,0.33,1
Cyclone,Balangoda,Ratnapura,2003,5,7,0.33,1
Cyclone,Kalawana,Ratnapura,2006,11,23,0.2,0
Cyclone,Uda Karavita,Ratnapura,2004,6,18,0.42,0
Cyclone,Elapatha,Ratnapura,2008,7,21,0.4,1
Cyclone,Ratnapura,Ratnapura,2017,4,25,0.18,0
Cyclone,Oluganthota,Ratnapura,2000,7,23,0.4,0
Cyclone,Kiriella,Ratnapura,2004,5,19,0.33,0
Cyclone,Kahawatta,Ratnapura,2004,5,22,0.33,0
Cyclone,Balangoda,Ratnapura,2003,4,23,0.18,1
Cyclone,Balangoda,Ratnapura,2003,11,2,0.2,1
Cyclone,Nivithigala,Ratnapura,2017,2,2,0.18,0
Cyclone,Kahawatta,Ratnapura,2006,1,6,0.21,0
Cyclone,Kahawatta,Ratnapura,2006,2,15,0.18,0
Cyclone,Elapatha,Ratnapura,2008,7,17,0.4,1
Cyclone,Elapatha,Ratnapura,2008,5,28,0.33,1
Cyclone,Elapatha,Ratnapura,2008,4,28,0.18,1
Cyclone,Elapatha,Ratnapura,2008,4,26,0.18,1
Cyclone,Elapatha,Ratnapura,2008,3,6,0.13,1
Cyclone,Kahawatta,Ratnapura,2004,10,30,0.26,0
Cyclone,Elapatha,Ratnapura,2008,8,23,0.39,1
Cyclone,Elapatha,Ratnapura,2009,4,9,0.18,1
Cyclone,Pahala Bopitiya,Ratnapura,2009,5,13,0.33,0
Cyclone,Delwala,Ratnapura,2004,3,8,0.13,0
Cyclone,Pebotuwa,Ratnapura,2004,3,18,0.13,0
Cyclone,Uda Karavita,Ratnapura,2004,3,24,0.13,0
